Name,Price,Rating
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",10999,4.3
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",10999,4.3
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",8499,4.2
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",10999,4.3
"POCO C55 (Cool Blue, 128 GB)",8999,4.2
"POCO C51 (Royal Blue, 64 GB)",6499,4.1
"vivo T2x 5G (Glimmer Black, 128 GB)",13999,4.4
"vivo T2x 5G (Glimmer Black, 128 GB)",12999,4.4
"POCO C55 (Forest Green, 128 GB)",8999,4.2
"POCO C51 (Power Black, 64 GB)",6499,4.1
"POCO C50 (Royal Blue, 32 GB)",5499,4.2
"POCO C55 (Power Black, 128 GB)",8999,4.2
"vivo T2x 5G (Aurora Gold, 128 GB)",12999,4.4
"Infinix SMART 7 (Azure Blue, 64 GB)",6999,4.3
"vivo T2x 5G (Aurora Gold, 128 GB)",13999,4.4
"Infinix SMART 7 (Emerald Green, 64 GB)",6999,4.3
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",14999,4.1
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",17949,4.4
"realme C53 (Champion Gold, 64 GB)",10999,4.5
"POCO C55 (Power Black, 64 GB)",7499,4.2
"Infinix HOT 30i (Marigold, 128 GB)",9039,4.3
"Infinix HOT 30i (Diamond White, 128 GB)",9039,4.3
"Infinix HOT 30i (Marigold, 64 GB)",8199,4.3
"POCO C55 (Forest Green, 64 GB)",7499,4.2
